User handle,Date of tweet,Tweet Data
SCORETrCoast,03-04-2017,SCORE Workshop April 13th -Financial Record Keeping for Small Business - St. Lucie Chamber of Commerce - Register... http://fb.me/6MpjC0toq 
Friendstagram,10-04-2017,Mind your own business please. It's my awesome life, not yours.
angiemeraz_,04-04-2017,There's no such thing as "minding my own business" when it comes down to my girls or anyone I care about , sorry
pojugreat,12-04-2017,Vacancy for the Position of a Business Manager. Kindly RT pic.twitter.com/01buyjlnC6
business,13-04-2017,Germany's solar business climate improved the most since 2010 https://bloom.bg/2ozRiwh pic.twitter.com/Ai45kIDukp
CarolinaSanchiz,03-04-2017,The old mantra of ‘be everywhere’ will quickly be replaced with ‘be where it matters to our business'. - Mike Stelzner #quote
Roses_4_Thorns,03-04-2017,On Monday, POTUS and I met with woman small business owners to discuss how this administration plans to get America working again. …
TidrienG,06-04-2017,Don't come back and tell me what my ex did or doing whatever they doing Is they business
Mzseaun,12-04-2017,Shell did not scam us. Shell was doing business. We scammed ourselves
LawyerRogelio,11-04-2017,If Trump really wanted to destroy those airfields in Syria all he had to do was purchase them and run them as a business. pic.twitter.com/5rYITEXVGh
PalmCentrix,03-04-2017,5 Hard 'Facts' About Appreneurship No One Tells You #business #feedly http://buff.ly/2mBFsgB pic.twitter.com/EZ47zeUB2L
business,11-04-2017,Why old-school phones are making a comeback https://bloom.bg/2p4hEV4 pic.twitter.com/l6hcYBKv78
startupnewsUK,03-04-2017,5 Ways to Get Your Small Business Booming in New International Mark - Entrepreneur http://aggbot.com/Business-Startup-News/article/30069241 …
kalielaine14,04-04-2017,i do not understand why people care what others do like mind your own business
ABusinessGuru,03-04-2017,Sign up for your FREE #business listing on http://YourMilitary.com : http://www.YourMilitaryAdvertise.com  #militarypic.twitter.com/g2hyRCYbqS
MillionaireMP3,04-04-2017,Be very selective where you...  #entrepreneur #business #quote @grantcardone  SEE MORE --> https://goo.gl/UM7yah pic.twitter.com/eYavXY8KwG
Forbes,03-04-2017,Which social media platforms are right for your business: http://on.forbes.com/60118wWVD pic.twitter.com/lZPX8veF7U
business,11-04-2017,Press Secretary Sean Spicer warns Syria to stop using barrel bombs against civilians https://bloom.bg/2okjanN pic.twitter.com/7Z4mwFlH57
business,11-04-2017,This pipeline is built to survive extremes - but it can't bear the slow flow of oil https://bloom.bg/2olEsS1 pic.twitter.com/Cpzozd7UrI
RMB_Investor,03-04-2017,Samsung Plans Share Buyback Business … : http://www.rmbinvestor.com/page15390.htm#16 … .,
MarsLeFeu,03-04-2017,Are you really Christian if you don't judge others and get involved in other people's business?
ipfconline1,05-04-2017,How to Accelerate #Business Growth with #InboundMarketing https://goo.gl/LDZPb8  [via @Bharath_369] #GrowthHacking #Marketing #Startuppic.twitter.com/6pBrSulRuu
ooyuztoyotanews,03-04-2017,3 Top Apple Suppliers to Buy in 2017 | Fox Business.. Related Articles: http://bit.ly/2nxgMXP 
_griffinhughes_,06-04-2017,No matter what happens stay out of people's business
Jcirc208,11-04-2017,I dont care if my ex upgrade, downgrade, left grade, right grade, etc. What they do after me isnt my business. When Im past you, im past you
Paid_AndPretty,03-04-2017,This is a great platform for young entrepreneurs, learn how to run a business & get paid for your efforts.. http://Topearners.org 
DaBoss_Daughtr,03-04-2017,Mind your business. So what if the rules say no acrylic how can you determine if its gel or acrylic? Answer me that
business,06-04-2017,Tencent just overtook Wells Fargo to become the world's 10th biggest company https://bloom.bg/2oDDH8g pic.twitter.com/s7q3RWndI2
2XRENEE,04-04-2017,keep our business lowkey, but don't keep me lowkey
flylikeakiwinz,03-04-2017,Quote by Unknown Source | Building a good business needs good discipline. @flylikeakiwinz #quote @flylikeakiwinz #quotepic.twitter.com/Vv2GIkEHYF
BoardingArea,03-04-2017,FARE DEAL: Virgin Atlantic Business Class Just $1151 Roundtrip!! - http://bit.ly/2oO6zqf  via @garyleffpic.twitter.com/bHQbGmee2b
AprendiendoSM,03-04-2017,Small Business Expert Advice: When to Close Down Your Business http://bit.ly/2oy5XFL  #socialmedia
MrSainiOfficial,07-04-2017,The Top 10 #DigitalMarketing Trends #MakeYourOwnLane #GrowthHacking #Marketing #Business #Defstar5 #SocialMedia #SMM #SEOpic.twitter.com/ZHm9lY9E4q
PatriciaLrc,03-04-2017,7 books that will give you the tech knowledge you need to start a business — via @Medium http://read.bi/2ojdiMr  vía @bi_contributors
ZieIsPsycho,11-04-2017,4. Dad's black card is my business, if u cant afford Gucci, chat, but dont disrespect me for bein used to what I'm used to
keepcalmandmom1,03-04-2017,Be the one you want to become! https://christinbiergans.wordpress.com  #mompreneur #entrepreneur #parenting #mom #business #startuppic.twitter.com/PZGnXe7ah1
AFCModiOperandi,03-04-2017,He had a business idea and made a success of it. Gave the fans a voice. Not his fault some of the people who go on regularly are toxic https://twitter.com/aaronafc28/status/848613010251931648 …
business,04-04-2017,10 ways to get a good return on your cash without going near the stock market https://bloom.bg/2oCFgQy pic.twitter.com/1NEuiULh4I
darealnastyneal,03-04-2017,Mind your business and get your paper!! Keep it low in these streets!! #BeSafeTho! https://www.instagram.com/p/BSZND5xhUJ8/ 
queenceeeee_,08-04-2017,still the fact that the friend confided in her and she decided to Air out her business on Twitter.
laundrapp,07-04-2017,While the cat's away, the mice will ... behave! #Laundrapp CEO, @edrelf, is away on hols but it's business as usual! pic.twitter.com/RzIkknLPDr
Powerofdigg,07-04-2017,Best #Hotel #WordPress Themes https://goo.gl/VMKYo6  #business #startup #makeyourownlane #DigitalMarketing #GrowthHacking #SEO #SMM #hotelspic.twitter.com/aCIJcdvpEL
business,09-04-2017,This woman fights the scammers who go after your parents' money. Here are her war stories https://bloom.bg/2nXz2tv pic.twitter.com/jwt069ZpkH
NYCKING,03-04-2017,#OpeningDay I can see day #Yankees do get into alternate jersey business. sure it wouldn't sit well but u know $ talks
IncomeTaxIndia,11-04-2017,CBDT issues Permanent Account Number (PAN) and Tax Deduction Account Number (TAN) within 1 day to improve Ease of Doing Business.
VehicleEmpire,05-04-2017,ALL BUSINESS pic.twitter.com/ewJC2PuyS9
CauduroGabriele,11-04-2017,How do you run a successful baking business in your home? #AffiliateMarketing #makeyourownlane http://affiliatemarketingtop.com pic.twitter.com/Lnlku5Pi58
unicornhuntio,03-04-2017,@thebotplatform are looking for a New Business Executive http://buff.ly/2nHb1HU  #hiring #sales
KnightAccount,04-04-2017,This Small Business - Shop Local pic.twitter.com/jhx1tpmujo
alznjycc,08-04-2017,UK entrepreneurs top 100: From Richard Branson to Edwina Dunn, these are the most influential business founders in t http://cityam.com/220386/uk-entrepreneurs-top-100-richard-branson-edwina-dunn-these-are-most-influential-business …
Eoin_Dineen,03-04-2017,They don't call it the business end of the season for nothing.. @Munsterrugby have a match every week for at least the next 5 weekends! :)
iBloom,03-04-2017,Which business owner are you? Take this quiz to find out! http://ibloom.co/quiz  #iBloomBizQuiz
sportybet,07-04-2017,Giorgio Chiellini graduates from the University of Turin, receiving top marks in a Masters degree for Business Administration. Congrats pic.twitter.com/5Gwif6GQpg
PulyBeast,03-04-2017,If you're running a business or you are a brand, can you please have your email address on your bio or your website link
HarbinsonMul,10-04-2017,Celebrating family businesses at the 1st ever NI Family Business Awards hosted by @davidmeadelive - details here http://familybusinessawardsni.co.uk/ pic.twitter.com/5u3GRxwASI
MphoThe_Queen,04-04-2017,The ancestors tsa Babeile means business, now Sonti is loosing everything cos she broke their son's heart.... #skeemsaam
ashleyma02,10-04-2017,it ain't a secret, but it ain't your business either.
DonaldLanders,04-04-2017,Reasons You Need Mental Strength to Be Successful. For Business Funding Nationwide... http://www.dbigfish.com  http://businessphilosophyclubs.info/7-reasons-you- pic.twitter.com/LRhvhqrE98
OsmundsenTerje,04-04-2017,"Turning SDGs into business oppurtunities". @BjornKHaugland presented examples from the work of DNV GLs and @Sustainia #utviklingsmeldingenpic.twitter.com/pidUtdiZiU
marcus,06-04-2017,Harit Talwar, Head of Marcus, on why $GS entered the consumer lending business. See the full interview here: http://click.marcus.com/hep5 pic.twitter.com/hwkf4OJqVA
raegannn14,12-04-2017,When you're minding your business and you hear your name coming from someone else's mouth https://twitter.com/thegreatkhalid/status/851950751953821697 …
Alexa__Bella,07-04-2017,I may be hated for this but I fully support @POTUS & refuse to be hysterical~We're not at war~We showed the world we mean business.Period.
FoxNews,03-04-2017,On "Cavuto on Business," Ben Stein discussed a report that Ivy League schools received $41 billion in federal funding over a 6-year period. pic.twitter.com/CQSMQO9BeI
GirlImPowered,03-04-2017,Celebrating 4 years: Lessons in business and entrepreneurship - http://bit.ly/2f4eifl 
Tim_Canova,05-04-2017,FDR's "unfinished business" updated big for today: Medicare for all, path to citizenship, tuition free education, public works, solar & wind
ricardollera,03-04-2017,5 Must Have Business Plans http://bit.ly/2nOJl5L  #marketing
taryn_it_uuppp,07-04-2017,YA GIRL IS A PUBLISHED AUTHOR!! Nevertheless, She Persisted will be available on amazon in 3-5 business days!! pic.twitter.com/eFcCqimSP6
loupnoir,03-04-2017,Trump offering a timely cautionary tale on trying to run government as a business http://www.theglobeandmail.com/news/world/us-politics/trump-offering-a-timely-cautionary-tale-on-trying-to-run-government-as-a-business/article34551114/?utm_source=twitter.com&utm_medium=Referrer:+Social+Network+/+Media&utm_campaign=Shared+Web+Article+Links … as does Canada's own experience-
SFletch8,06-04-2017,New Generation #Scania S580N Cab landed! The will look the business when completed #SuppliedByKeltruck @KeltruckLtd @ScaniaUKpic.twitter.com/CuSVizxAhw
WarwickHunt4,07-04-2017,Theresa May negotiating arms deals with Saudi views the slaughter in Yemen as a business opportunity.
NorthNottsBC,03-04-2017,Get your business on the right track for the future with the top rate speakers at the North Notts Spring Conference http://bit.ly/2mEgqRB pic.twitter.com/UW9XjmkfJN
JomarSince89,03-04-2017,K that was the petty tweet for 2017. I don't air out my business like that, I got FANS to love so that negativity is gone! pic.twitter.com/ISVar4RW5f
_JulesSG_,03-04-2017,A lot of them are but the worst is the Susan G Komen Foundation. That shit is literally a business.
LeighMGPM,10-04-2017,@oldunderground @cockneyrebelx Wish me luck guys, off to Central London County Court tomorrow to fight for our business
drmemogamboa,03-04-2017,3 simple strategies ToGrow Your Business with twitter[blog] http://bit.ly/1Sc1Fgu  #viridianenergy #mlm #itworkspic.twitter.com/sSYmDLKWtK
POLILLITAM,05-04-2017,When will Trump be removed?
APatronne,07-04-2017,Mind your business and drink water
funder,07-04-2017,DOC:Trump's business partners are accused of tax evasion-perjury-money laundering-fraud & obstr of justice #trumprussia #russiagate #resistpic.twitter.com/1ZHDQdVD1J
PowellJames4,11-04-2017,Sleeveless bustier brallette Sexy appearance is a good business Shop: https://thesuperiorapparel.com/collections/womens-top/products/sleeveless-bustier-brallette … Use code NEAT for 10% off pic.twitter.com/lL2jrkrOdl
LisaBeliveau,11-04-2017,Other airlines could put United out of business by reaching out with better offers to current United customers. #neverflyunited #NeverUnited
business,10-04-2017,How to beat currency markets? Just get on Twitter, academics say https://bloom.bg/2nvWyld pic.twitter.com/dlHsR3Scay
KennethHitchner,03-04-2017,Here Comes Generation Z http://dlvr.it/NnQzgz  #business #marketingpic.twitter.com/VQw27V7J2F
SueAnneDunlevie,03-04-2017,How To Convert Readers Of Your Business Blog Into Loyal, Paying Customers today! http://bit.ly/2mG4YCl 
issajae_,12-04-2017,yall really outchea in other folks business
business,09-04-2017,Taser is giving body cameras to any cops who want them https://bloom.bg/2nuoRAC pic.twitter.com/76hlBkyWck
alyssakalena,04-04-2017,If we had "beef" in high school, we don't anymore lol. If you're over 18 just grow up and mind your business.
cvboose,05-04-2017,It's none of your business what other people think of you.
deeperezgomez,12-04-2017,LMAO gotta keep my man hidden from all these home wreckers that's why my business is on the low cause some y'all have 0 respect
Rasin__Bran,03-04-2017,My uber driver: "Theatre, huh? Most people just wait tables. Son, you should know that's a very brutal business" Me-"shit wait for real?"
Football__Tweet,07-04-2017,Giorgio Chiellini has graduated from the University of Turin, receiving top marks in a Masters degree for Business Administration. pic.twitter.com/APRBH51HwZ
business,04-04-2017,Hungary's PM doubles down on bill that would shut down university founded by George Soros https://bloom.bg/2o5dTAH pic.twitter.com/YKtLLmhy7t
GoProfitS,03-04-2017,Earn money Online | Home based Business ideas | Online Jobs with Google-Video http://buff.ly/2nDSKOn pic.twitter.com/fovgtPNZwf
MarissaReyes_,07-04-2017,"U look mad @ school" I LOOK LIKE IM MINDING MY DAM BUSINESS LOL
wwwPGAtoday,10-04-2017,BlockChain in Branded Entertainment http://irishtechnews.ie/how-film-fashion-and-the-music-business-can-learn-to-collaborate-and-innovate-from-the-tech-sector/ … #BlockChain #FinTech #Crypto #DefStar5 #Money #BitCoin #Business #Data #Insightspic.twitter.com/5FsS2ry2jE
craigbrownphd,06-04-2017,How machine-learning startup Jemsoft turned a tragic situation into a viable business:… https://goo.gl/9mDbNl  #EmergingTech #Techpic.twitter.com/wlC0jnNJWC
_VanessaMrtz,04-04-2017,A guy has no business at the baile without his gf tbh he's not about to dance sueltas w/his boys so
MacAndCheeks,09-04-2017,Mind your business. https://twitter.com/deiongottastfu/status/851094426952847360 …
Tricks_Zone,03-04-2017,Starting an online business? Grab your hosting from #interserver today. Save by applying #couponshttp://urbesthost.com/interserver-coupons/ …
POTUSThesaurus,08-04-2017,Golfing while black, lazy. Golfing while white, efficient business relationship building.
Djlegagneur,03-04-2017,Facebook Auto Poster Software that helps you organize your group posting and find new prospects for your business. http://jvz1.com/c/156311/86051 pic.twitter.com/VDTZv3mJ1s
DuaneCraig,03-04-2017,Senate votes to repeal labor protection laws safeguarding vulnerable workers | Business | The Guardian http://ow.ly/FuRW30aukXj 
avalara,03-04-2017,ICYMI: Amazon will tax deliveries into 45 states. How will this affect your business? Learn more: http://avlr.co/2nIa047 
press_aware,03-04-2017,EXCLUSIVE: Anne Hathaway Stuns in Back-Baring Gown, Gives Advice to Expectant Mothers http://pressaware.com/?p=21625  #business pic.twitter.com/5O28KFubsg
